id,treatment,post,outcome,baseline_outcome,age,female,education_years,income_baseline,district,running_var
1,1,0,42.3,42.3,34,1,8,15200,district_a,-2.1
2,1,0,38.7,38.7,28,0,10,18500,district_a,-1.5
3,1,0,45.1,45.1,41,1,6,12000,district_b,-0.8
4,1,0,39.8,39.8,35,0,9,16800,district_a,-3.2
5,1,0,41.2,41.2,30,1,7,14100,district_c,-1.1
6,1,1,52.8,42.3,35,1,8,15200,district_a,-2.1
7,1,1,49.3,38.7,29,0,10,18500,district_a,-1.5
8,1,1,54.6,45.1,42,1,6,12000,district_b,-0.8
9,1,1,50.1,39.8,36,0,9,16800,district_a,-3.2
10,1,1,51.9,41.2,31,1,7,14100,district_c,-1.1
11,0,0,40.1,40.1,33,1,8,15800,district_a,2.3
12,0,0,37.5,37.5,27,0,11,19200,district_b,1.8
13,0,0,43.2,43.2,39,1,7,13500,district_a,3.1
14,0,0,38.9,38.9,36,0,8,16200,district_c,0.9
15,0,0,41.8,41.8,31,1,9,17000,district_b,2.7
16,0,1,41.5,40.1,34,1,8,15800,district_a,2.3
17,0,1,38.8,37.5,28,0,11,19200,district_b,1.8
18,0,1,44.1,43.2,40,1,7,13500,district_a,3.1
19,0,1,39.7,38.9,37,0,8,16200,district_c,0.9
20,0,1,42.6,41.8,32,1,9,17000,district_b,2.7
