id,village,age,education_years,peer_group_id,monthly_savings,received_training,knows_others_in_shg,repayment_status
1,C,28,0,4,498.14,1,5,On time
2,A,45,10,5,332.65,1,3,On time
3,C,21,4,4,392.75,1,1,Late
4,C,39,9,5,400.74,0,4,On time
5,A,47,6,5,510.23,0,5,Defaulted
6,A,26,9,3,456.74,0,7,On time
7,C,27,8,5,434.08,1,1,Late
8,B,54,11,4,500.39,0,3,On time
9,C,33,6,5,547.78,0,2,On time
10,C,36,8,3,474.1,0,9,On time
11,C,55,7,3,442.53,0,6,On time
12,C,59,11,4,457.85,0,3,On time
13,A,23,1,2,533.98,0,8,Defaulted
14,C,21,0,2,499.26,0,8,Late
15,B,25,6,5,576.73,0,2,On time
16,A,23,6,1,385.02,0,6,On time
17,B,48,13,5,422.47,0,7,On time
18,B,37,7,4,577.31,1,2,Late
19,B,45,4,4,419.82,0,2,On time
20,B,53,2,4,638.4,0,1,On time
21,A,29,11,4,640.52,1,8,On time
22,A,55,7,4,639.23,0,1,On time
23,B,33,5,3,411.94,1,9,On time
24,B,50,10,2,507.69,0,6,On time
25,A,34,2,4,450.66,0,7,Defaulted
26,A,27,0,1,592.32,0,7,On time
27,A,33,2,1,670.66,0,3,On time
28,C,42,4,1,587.36,0,2,On time
29,C,59,14,1,500.91,0,9,On time
30,C,40,13,3,463.45,1,8,Defaulted
31,B,35,2,1,564.91,0,7,On time
32,C,37,0,4,377.71,1,9,On time
33,B,43,4,5,553.63,0,4,On time
34,B,45,9,1,408.53,1,4,On time
35,C,44,6,3,562.05,0,1,Late
36,B,48,14,3,483.91,0,8,On time
37,C,34,13,1,461.17,0,3,On time
38,C,20,6,5,411.45,0,7,On time
39,A,44,10,1,464.33,1,2,On time
40,C,26,8,3,555.61,0,2,On time
41,A,28,14,2,604.39,0,7,On time
42,C,43,14,4,552.64,0,6,On time
43,C,20,9,3,636.39,0,3,On time
44,A,27,9,1,753.92,1,9,Defaulted
45,A,43,11,4,467.55,1,6,On time
46,C,30,12,1,479.41,1,6,On time
47,B,36,2,1,356.0,0,1,Late
48,A,27,14,2,619.07,0,4,Late
49,B,54,6,4,629.94,1,6,On time
50,B,54,0,4,413.29,0,6,On time
