id,village,age,heard_about_program,neighbors_informed,attended_info_session,adopted_practice
1,X,46,0,2,0,1
2,X,30,1,4,0,0
3,Y,29,0,4,0,0
4,Y,48,0,1,0,0
5,Y,63,1,3,0,0
6,X,19,0,1,0,0
7,Y,52,0,3,0,1
8,Y,40,1,3,0,0
9,Y,34,1,4,0,1
10,X,43,0,0,0,1
11,Y,25,1,0,0,0
12,Y,46,0,2,0,1
13,X,43,0,4,0,0
14,Y,27,0,3,0,0
15,Y,43,1,0,1,0
16,X,51,1,3,0,1
17,Y,58,1,0,0,0
18,X,24,1,0,1,1
19,X,21,0,0,0,1
20,Y,62,0,4,1,0
21,Y,28,0,1,0,1
22,Y,46,0,3,0,0
23,Y,53,0,4,0,0
24,X,42,1,4,0,0
25,Y,38,0,4,0,0
26,X,53,0,4,1,1
27,Y,27,0,4,0,0
28,Y,54,1,2,0,0
29,Y,26,1,3,0,1
30,X,41,0,4,1,0
31,Y,52,0,3,0,0
32,Y,52,1,2,0,0
33,Y,53,0,2,0,1
34,Y,35,1,3,0,0
35,X,56,1,0,0,1
36,Y,49,0,1,0,1
37,X,41,0,0,0,0
38,X,40,1,0,0,0
39,X,49,0,0,0,0
40,X,54,0,4,1,0
41,X,29,1,2,0,0
42,X,30,1,0,0,0
43,Y,40,1,2,0,0
44,X,42,1,3,0,0
45,X,52,0,1,0,0
46,X,58,0,3,0,0
47,Y,47,1,3,0,0
48,Y,34,0,4,0,0
49,X,37,0,1,0,0
50,Y,42,1,3,1,0
