id,treatment,age,income,outcome
1,1,31,4712.84,174.0326230758753
2,0,26,3968.1,159.61997327862858
3,0,32,6621.32,183.00356568963406
4,1,24,3027.54,158.59796360595337
5,1,19,4759.32,165.40929446189386
6,0,48,4695.52,170.95710421150756
7,1,24,4860.27,178.4881276237985
8,1,58,6360.32,202.25065280356458
9,0,28,5741.07,154.07848363325385
10,0,30,5088.52,153.22310105648256
11,0,30,3646.6,153.8250946635444
12,1,43,5378.41,190.76312362770884
13,0,25,4189.11,156.56300828939825
14,0,31,6459.14,188.256092399907
15,0,19,4972.46,153.71352036069166
16,1,59,5009.85,200.0523492154758
17,0,32,4690.01,151.1661105923541
18,0,41,5090.06,155.37176050004481
19,1,51,4814.89,176.83386323507096
20,1,21,6672.83,200.5131831815663
21,1,35,5117.0,176.07919131807196
22,1,42,3962.06,177.61173686689085
23,1,41,5193.8,168.6717154885544
24,1,23,4452.55,174.2209550174548
25,1,51,4092.88,170.30268165155812
26,0,55,5168.42,168.18353813411778
27,0,20,6025.1,177.8829435483775
28,0,36,6271.04,177.25853927698762
29,0,53,2342.69,155.51614215660038
30,1,36,5670.91,193.3027758100217
31,0,45,4582.65,167.44171206671865
32,0,27,6360.09,182.34800439746343
33,0,35,3661.3,149.29303734180968
34,0,21,4920.22,156.49016075945732
35,0,29,5890.09,165.47409135019709
36,0,44,4539.72,162.95161010102805
37,0,46,4663.34,171.66869921850773
38,1,29,3725.58,153.69201292581505
39,1,28,4921.23,182.62515474458073
40,1,21,4114.27,141.84438770159218
41,1,41,3013.17,166.43348382611987
42,0,43,5023.63,161.61338249608298
43,0,45,4790.63,163.38003373630707
44,0,21,4676.47,148.25953358737488
45,1,53,4947.97,189.9851450924761
46,0,32,4879.99,181.01001396508516
47,0,39,5031.19,175.03490356817863
48,1,41,5379.47,164.2278371149706
49,1,41,5304.11,189.06564981715852
50,1,54,4990.6,189.50632668859865
51,0,22,4212.39,138.5103882821572
52,1,23,4756.04,173.47283317433474
53,1,27,5540.39,187.05400923520102
54,1,20,4955.54,176.79383377707785
55,0,55,6105.39,193.83474758085913
56,0,51,4415.1,164.71568426345146
57,0,23,4407.29,170.5928664621435
58,1,27,5607.12,177.68864079111938
59,1,33,6738.6,186.48488461078887
60,1,46,4543.32,166.82791319914622
61,1,20,3724.22,158.5574904692908
62,1,28,4630.55,174.08678327693096
63,1,54,5081.8,195.09978804101814
64,1,21,5253.66,183.58495010348426
65,1,21,5015.52,169.23202189176212
66,0,41,3252.93,138.6720861701264
67,1,45,4368.48,181.95180333163253
68,0,52,3676.06,172.94024630725534
69,0,55,4740.27,179.60316129147682
70,1,41,4811.73,176.9967074403156
71,0,39,4239.84,144.2867901122414
72,1,43,3980.1,170.62591822911546
73,1,35,3609.0,151.60881200685446
74,1,20,5854.84,172.76887747497142
75,0,28,5554.47,155.45283439424026
76,1,26,2802.78,147.08958094747985
77,1,50,5328.54,186.77769728019754
78,0,43,3860.33,172.024158374772
79,0,53,5907.9,188.61805518763785
80,1,21,3577.84,154.73253091000214
81,0,19,5391.12,169.3360135463986
82,1,25,5691.71,176.7324667252163
83,1,24,4917.1,142.97631636624206
84,0,53,5541.58,173.77216266538727
85,1,51,4659.05,186.121451483208
86,1,57,5882.61,195.8183107061013
87,0,36,4769.45,150.49110660033105
88,0,46,5046.0,187.1021640393207
89,0,56,4925.4,164.52766557294174
90,0,23,4887.17,165.22100308325852
91,1,27,4675.59,165.92700510955223
92,1,58,5892.03,187.4277289139195
93,0,59,7343.47,203.226838516986
94,1,22,6375.05,196.04092624900002
95,1,41,5382.48,186.33819967019616
96,1,58,3544.58,173.53760023386772
97,0,39,3728.6,151.2347371667612
98,0,43,6014.27,191.5509069493021
99,0,54,3708.35,181.49284246871542
100,0,46,2759.46,140.39619461164784
