student_id,gender,caste,grade_achieved,district
1,Male,SC,61,Dhubri
2,Male,ST,79,Dhubri
3,Male,General,81,Dhubri
4,Male,OBC,34,Medchal
5,Male,OBC,83,Khunti
6,Male,ST,75,Medchal
7,Male,ST,73,Khunti
8,Male,General,53,Dhubri
9,Male,General,70,Chamarajanagar
10,Male,OBC,59,Khunti
11,Male,SC,71,Medchal
12,Male,General,60,Dhubri
13,Male,General,70,Khunti
14,Male,ST,69,Khunti
15,Male,OBC,78,Chamarajanagar
16,Male,SC,47,Dhubri
17,Male,ST,69,Khunti
18,Male,OBC,31,Medchal
19,Male,General,74,Khunti
20,Male,OBC,62,Medchal
21,Male,SC,83,Khunti
22,Male,SC,71,Dhubri
23,Male,SC,73,Chamarajanagar
24,Male,SC,65,Dhubri
25,Male,OBC,81,Khunti
26,Male,General,65,Khunti
27,Male,General,79,Dhubri
28,Male,General,72,Chamarajanagar
29,Male,SC,53,Medchal
30,Male,OBC,64,Khunti
31,Male,SC,64,Dhubri
32,Male,OBC,74,Dhubri
33,Male,OBC,61,Dhubri
34,Male,ST,70,Medchal
35,Male,General,78,Khunti
36,Male,General,60,Medchal
37,Male,ST,79,Medchal
38,Male,SC,82,Khunti
39,Male,ST,55,Medchal
40,Male,SC,58,Dhubri
41,Male,SC,55,Medchal
42,Male,ST,53,Khunti
43,Male,OBC,60,Khunti
44,Male,ST,62,Chamarajanagar
45,Male,General,67,Chamarajanagar
46,Male,ST,58,Dhubri
47,Male,General,53,Khunti
48,Male,ST,49,Medchal
49,Male,General,70,Dhubri
50,Male,General,73,Khunti
51,Male,OBC,64,Dhubri
52,Male,OBC,72,Chamarajanagar
53,Male,General,64,Medchal
54,Male,ST,72,Chamarajanagar
55,Male,ST,74,Chamarajanagar
56,Male,ST,60,Chamarajanagar
57,Male,SC,59,Medchal
58,Male,General,63,Medchal
59,Male,ST,66,Dhubri
60,Male,OBC,50,Khunti
61,Male,OBC,55,Dhubri
62,Male,ST,67,Chamarajanagar
63,Male,SC,54,Khunti
64,Male,SC,69,Khunti
65,Male,SC,75,Chamarajanagar
66,Male,OBC,66,Medchal
67,Male,SC,74,Medchal
68,Male,ST,60,Dhubri
69,Male,General,51,Dhubri
70,Male,General,61,Medchal
71,Male,OBC,65,Medchal
72,Male,SC,54,Chamarajanagar
73,Male,General,46,Dhubri
74,Male,ST,72,Chamarajanagar
75,Male,SC,82,Chamarajanagar
76,Female,General,59,Chamarajanagar
77,Female,General,69,Khunti
78,Female,SC,68,Khunti
79,Female,OBC,59,Dhubri
80,Female,OBC,69,Dhubri
81,Female,SC,68,Dhubri
82,Female,ST,64,Medchal
83,Female,ST,63,Medchal
84,Female,OBC,62,Khunti
85,Female,ST,52,Dhubri
86,Female,General,80,Medchal
87,Female,OBC,53,Medchal
88,Female,OBC,72,Chamarajanagar
89,Female,SC,71,Chamarajanagar
90,Female,ST,68,Chamarajanagar
91,Female,ST,77,Dhubri
92,Female,General,69,Khunti
93,Female,OBC,77,Medchal
94,Female,OBC,58,Chamarajanagar
95,Female,ST,83,Khunti
96,Female,ST,66,Dhubri
97,Female,SC,72,Medchal
98,Female,SC,61,Khunti
99,Female,OBC,71,Chamarajanagar
100,Female,OBC,71,Khunti
101,Female,SC,65,Dhubri
102,Female,SC,60,Medchal
103,Female,OBC,68,Medchal
104,Female,OBC,60,Medchal
105,Female,General,63,Dhubri
106,Female,General,73,Khunti
107,Female,General,54,Medchal
108,Female,OBC,52,Chamarajanagar
109,Female,SC,69,Chamarajanagar
110,Female,ST,59,Khunti
111,Female,OBC,57,Dhubri
112,Female,OBC,75,Medchal
113,Female,General,54,Chamarajanagar
114,Female,ST,65,Khunti
115,Female,ST,87,Chamarajanagar
116,Female,ST,69,Medchal
117,Female,ST,75,Dhubri
118,Female,General,62,Chamarajanagar
119,Female,ST,72,Khunti
120,Female,SC,80,Dhubri
121,Female,SC,50,Medchal
122,Female,ST,59,Medchal
123,Female,ST,91,Chamarajanagar
124,Female,ST,71,Chamarajanagar
125,Female,SC,56,Dhubri
126,Female,ST,70,Chamarajanagar
127,Female,General,78,Chamarajanagar
128,Female,OBC,84,Medchal
129,Female,ST,69,Dhubri
130,Female,General,57,Dhubri
131,Female,SC,71,Khunti
132,Female,OBC,76,Dhubri
133,Female,OBC,67,Khunti
134,Female,OBC,63,Medchal
135,Female,SC,55,Khunti
136,Female,General,61,Khunti
137,Female,ST,57,Khunti
138,Female,ST,64,Medchal
139,Female,General,71,Khunti
140,Female,SC,59,Dhubri
141,Female,ST,77,Medchal
142,Female,SC,64,Chamarajanagar
143,Female,OBC,71,Medchal
144,Female,OBC,56,Dhubri
145,Female,OBC,76,Dhubri
146,Female,SC,62,Khunti
147,Female,General,53,Medchal
148,Female,SC,60,Chamarajanagar
149,Female,SC,49,Chamarajanagar
150,Female,ST,73,Khunti
