hh_id,year,income,scheme_participation,district
101,2022,11890,0,Khunti
102,2022,3292,1,Kurnool
103,2022,12029,1,Khunti
104,2022,7099,0,Kurnool
105,2022,8346,0,Kurnool
106,2022,10033,0,Khunti
107,2022,7776,0,Khunti
108,2022,10452,1,Khunti
109,2022,9980,1,Khunti
110,2022,7122,0,Khunti
111,2022,3736,0,Kurnool
112,2022,13488,1,Kurnool
113,2022,7461,1,Khunti
114,2022,4971,0,Kurnool
115,2022,14465,0,Kurnool
116,2022,11389,0,Khunti
117,2022,4671,1,Khunti
118,2022,13877,0,Khunti
119,2022,3606,1,Kurnool
120,2022,5120,0,Kurnool
121,2022,9996,0,Khunti
122,2022,12351,1,Khunti
123,2022,4731,0,Kurnool
124,2022,13453,0,Kurnool
125,2022,10788,0,Kurnool
126,2022,6395,1,Khunti
127,2022,9246,1,Khunti
128,2022,11020,0,Kurnool
129,2022,13567,0,Khunti
130,2022,11787,0,Kurnool
131,2022,8343,1,Khunti
132,2022,5304,0,Kurnool
133,2022,14909,0,Khunti
134,2022,6419,1,Khunti
135,2022,4131,0,Khunti
136,2022,5003,1,Khunti
137,2022,14783,0,Kurnool
138,2022,14413,0,Kurnool
139,2022,13213,1,Kurnool
140,2022,10644,1,Khunti
141,2022,4707,0,Khunti
142,2022,12774,0,Khunti
143,2022,11192,1,Khunti
144,2022,10528,1,Kurnool
145,2022,3691,1,Kurnool
146,2022,14338,0,Kurnool
147,2022,5547,0,Kurnool
148,2022,13978,0,Kurnool
149,2022,5683,0,Kurnool
150,2022,11535,0,Khunti
101,2023,9995,1,Khunti
102,2023,9862,0,Kurnool
103,2023,9176,0,Khunti
104,2023,14379,0,Kurnool
105,2023,9598,0,Kurnool
106,2023,8985,0,Khunti
107,2023,7524,1,Kurnool
108,2023,3827,1,Khunti
109,2023,13041,1,Kurnool
110,2023,9834,1,Kurnool
111,2023,13413,1,Kurnool
112,2023,6204,0,Kurnool
113,2023,14705,0,Khunti
114,2023,3093,1,Kurnool
115,2023,5467,1,Kurnool
116,2023,6778,1,Khunti
117,2023,3404,1,Khunti
118,2023,8037,1,Kurnool
119,2023,12401,1,Kurnool
120,2023,3375,1,Khunti
121,2023,6945,1,Kurnool
122,2023,13942,0,Khunti
123,2023,3497,0,Kurnool
124,2023,10666,0,Khunti
125,2023,10373,1,Kurnool
126,2023,12630,1,Khunti
127,2023,11930,1,Khunti
128,2023,7515,1,Khunti
129,2023,9729,0,Kurnool
130,2023,6290,0,Khunti
131,2023,13167,1,Kurnool
132,2023,4562,0,Khunti
133,2023,11652,1,Khunti
134,2023,14866,1,Kurnool
135,2023,6123,1,Kurnool
136,2023,4838,1,Kurnool
137,2023,12660,1,Khunti
138,2023,9959,0,Khunti
139,2023,7736,0,Kurnool
140,2023,6466,0,Kurnool
141,2023,7043,0,Kurnool
142,2023,9029,1,Kurnool
143,2023,7702,0,Kurnool
144,2023,8638,0,Kurnool
145,2023,10853,0,Khunti
146,2023,8534,0,Kurnool
147,2023,9310,1,Kurnool
148,2023,5987,1,Kurnool
149,2023,7690,1,Kurnool
150,2023,14655,1,Khunti
