student_id,grade_level,gender,test_score,school_type
201,3,F,57.5,Govt
202,5,F,48.8,Private
203,5,M,35.5,Govt
204,2,M,69.5,Govt
205,2,F,32.6,Private
206,5,F,61.1,Govt
207,5,M,62.7,Govt
208,3,F,63.1,Private
209,5,F,46.4,Govt
210,2,M,62.1,Private
211,3,F,57.1,Govt
212,5,M,49.2,Govt
213,1,M,38.1,Private
214,2,F,58.8,Govt
215,1,F,55.6,Govt
216,3,M,50.8,Private
217,2,M,46.7,Private
218,3,M,44.3,Govt
219,4,F,51.1,Govt
220,2,F,48.3,Private
221,3,M,55.9,Govt
222,1,F,46.2,Private
223,3,F,47.3,Private
224,5,M,37.3,Govt
225,5,M,58.4,Private
226,1,F,32.4,Private
227,3,F,51.2,Govt
228,2,F,44.2,Private
229,1,F,52.2,Govt
230,3,M,53.1,Govt
231,4,M,56.7,Govt
232,5,M,42.7,Private
233,1,M,35.3,Govt
234,3,F,64.9,Govt
235,4,F,47.0,Govt
236,5,M,55.1,Govt
237,4,F,30.2,Private
238,1,F,23.8,Private
239,3,M,55.2,Govt
240,4,F,50.1,Private
241,4,F,21.1,Private
242,4,F,38.7,Private
243,2,M,33.5,Govt
244,4,F,36.0,Private
245,3,M,49.5,Private
246,3,M,47.9,Private
247,3,F,61.6,Private
248,5,M,64.9,Private
249,4,M,52.5,Govt
250,1,F,56.1,Private
251,5,F,38.1,Private
252,2,F,38.6,Govt
253,3,F,54.9,Govt
254,2,F,55.9,Govt
255,5,M,59.8,Govt
256,2,M,40.0,Private
257,5,M,29.5,Private
258,2,F,62.6,Private
259,3,M,41.4,Private
260,4,M,50.6,Private
261,3,F,49.0,Govt
262,3,M,50.3,Private
263,3,F,53.3,Govt
264,4,F,57.0,Govt
265,3,F,59.8,Govt
266,5,F,45.9,Private
267,2,M,57.6,Private
268,4,M,59.3,Govt
269,1,M,35.7,Govt
270,5,M,59.9,Govt
271,4,M,32.5,Govt
272,2,F,52.9,Govt
273,4,M,50.5,Govt
274,5,F,38.4,Private
275,5,M,44.0,Govt
276,1,M,37.3,Govt
277,3,M,62.3,Govt
278,2,M,40.3,Govt
279,5,M,32.6,Govt
280,5,F,43.6,Private
281,2,F,48.7,Govt
282,5,M,42.8,Private
283,1,M,39.0,Govt
284,1,F,46.4,Govt
285,3,F,42.8,Private
286,4,M,47.3,Govt
287,2,M,53.7,Private
288,1,M,58.3,Private
289,1,M,37.4,Private
290,1,F,72.8,Private
291,1,F,37.0,Private
292,3,F,57.5,Private
293,5,F,39.2,Govt
294,1,F,51.5,Private
295,3,F,50.7,Govt
296,4,M,35.7,Govt
297,5,M,36.1,Private
298,4,F,44.6,Private
299,5,F,65.2,Private
300,5,F,55.3,Govt
